show_id,poster_image,lifetime_box_office_collection,number_awards_won,imdb_rating,awards_summary,imdb_id,omdb_lookup_attempted
s1,https://m.media-amazon.com/images/M/MV5BOTQyN2E1NDMtN2MyNy00YjI2LTliYTctZDU2OTA4YTQ1NTU5XkEyXkFqcGc@._V1_SX300.jpg,,19,7.4,Won 1 Primetime Emmy. 19 wins & 40 nominations total,tt11394180,True
s2,https://placehold.co/420x630/17172a/f5c96b?text=Blood%20%26%20Water,,0,,Not enriched,,True
s3,https://m.media-amazon.com/images/M/MV5BYWJkOWM3NDQtYmQ0Mi00MzliLTg4YzctNDk2ZjY4NDQwYTRmXkEyXkFqcGc@._V1_SX300.jpg,,0,7.2,Not enriched,tt13278100,True
s4,https://m.media-amazon.com/images/M/MV5BNTI0OGJjMGItZjNmMC00NWQ5LTk5M2QtNjIwZmI3ZGE1OWYzXkEyXkFqcGc@._V1_SX300.jpg,,0,6.5,Not enriched,tt15320436,True
s5,https://placehold.co/420x630/17172a/f5c96b?text=Kota%20Factory,,0,,Not enriched,,True
s6,https://m.media-amazon.com/images/M/MV5BYWFjMDM5MzgtZWI3OC00ZWRmLThlNTktN2ZkMTc3ZTA5NGEzXkEyXkFqcGc@._V1_SX300.jpg,,4,7.7,Nominated for 1 Primetime Emmy. 4 wins & 30 nominations total,tt10574558,True
s7,https://m.media-amazon.com/images/M/MV5BYzY1NDc3ODctZWJkOC00MzhmLTk3NjctZTk5ZThmNjUxMWEyXkEyXkFqcGc@._V1_SX300.jpg,,0,6.8,4 nominations total,tt10101702,True
s8,https://m.media-amazon.com/images/M/MV5BYWVlYjZlYmQtMmEyNC00NjM3LWI3ZGUtY2E0N2M2OTYyYzA2XkEyXkFqcGc@._V1_SX300.jpg,"$2,198,984",0,7.0,1 nomination,tt0108041,True
s9,https://placehold.co/420x630/17172a/f5c96b?text=The%20Great%20British%20Baking%20Show,,0,,Not enriched,,True
s10,https://m.media-amazon.com/images/M/MV5BYmYwMzcxODYtZjA1Yy00NTM5LWJmNDUtMzE4YzVjNzFhY2Y4XkEyXkFqcGc@._V1_SX300.jpg,,2,6.4,2 wins total,tt5164438,True
